"unitid","institution name","year","DRVIC2015.Total price for in-district students living on campus  2015-16","DRVIC2015.Total price for in-state students living on campus 2015-16","DRVIC2015.Total price for out-of-state students living on campus 2015-16"
"100751","The University of Alabama","2015","28422","28422","44202"
"100858","Auburn University","2015","29794","29794","47410"
"102094","University of South Alabama","2015","20252","20252","27284"
"102368","Troy University","2015","18933","18933","25821"
"103778","Thunderbird School of Global Management","2015",,,
"104151","Arizona State University Campus Immersion","2015","25704","25704","41004"
"104179","University of Arizona","2015","25743","25743","46970"
"106397","University of Arkansas","2015","23506","23506","36810"
"106458","Arkansas State University","2015","22103","22103","28103"
"110556","California State University-Fresno","2015","19493","19493","30653"
"110635","University of California-Berkeley","2015","35255","35255","59963"
"110662","University of California-Los Angeles","2015","33391","33391","58099"
"122409","San Diego State University","2015","27451","27451","38611"
"122755","San Jose State University","2015","26227","26227","37387"
"123961","University of Southern California","2015","67212","67212","67212"
"126614","University of Colorado Boulder","2015","31393","31393","54427"
"126818","Colorado State University-Fort Collins","2015","23852","23852","40561"
"128328","United States Air Force Academy","2015",,,
"132903","University of Central Florida","2015","22222","22222","38321"
"133669","Florida Atlantic University","2015","22255","22255","34700"
"133951","Florida International University","2015","23240","23240","35638"
"134097","Florida State University","2015","22071","22071","37237"
"134130","University of Florida","2015","20661","20661","42939"
"135726","University of Miami","2015","62329","62329","62329"
"137351","University of South Florida","2015","21110","21110","32024"
"139755","Georgia Institute of Technology-Main Campus","2015","25780","25780","45972"
"139931","Georgia Southern University","2015","22927","22927","33501"
"139940","Georgia State University","2015","26214","26214","40782"
"139959","University of Georgia","2015","25134","25134","43344"
"141574","University of Hawaii at Manoa","2015","28724","28724","48776"
"142115","Boise State University","2015","20372","20372","34422"
"142285","University of Idaho","2015","20294","20294","34298"
"145637","University of Illinois Urbana-Champaign","2015","29764","29764","44924"
"147703","Northern Illinois University","2015","29065","29065","38531"
"147767","Northwestern University","2015","68060","68060","68060"
"150136","Ball State University","2015","23680","23680","39198"
"151351","Indiana University-Bloomington","2015","24539","24539","47892"
"153603","Iowa State University","2015","19270","19270","32390"
"153658","University of Iowa","2015","21010","21010","40796"
"155317","University of Kansas","2015","24117","24117","39951"
"155399","Kansas State University","2015","22496","22496","36575"
"157085","University of Kentucky","2015","26700","26700","40032"
"157289","University of Louisville","2015","25250","25250","39556"
"157951","Western Kentucky University","2015","19721","19721","34371"
"159391","Louisiana State University and Agricultural & Mechanical College","2015","25750","25750","42913"
"159647","Louisiana Tech University","2015","19399","19399","36397"
"159993","University of Louisiana at Monroe","2015","19546","19546","31646"
"160658","University of Louisiana at Lafayette","2015","21762","21762","35490"
"160755","Tulane University of Louisiana","2015","65082","65082","65082"
"163286","University of Maryland-College Park","2015","25137","25137","46285"
"164155","United States Naval Academy","2015",,,
"164924","Boston College","2015","65620","65620","65620"
"166629","University of Massachusetts-Amherst","2015","28074","28074","44407"
"169248","Central Michigan University","2015","22922","22922","34742"
"169798","Eastern Michigan University","2015","22351","22351","39646"
"170976","University of Michigan-Ann Arbor","2015","27812","27812","57432"
"171100","Michigan State University","2015","26048","26048","48848"
"172699","Western Michigan University","2015","23548","23548","38232"
"174066","University of Minnesota-Twin Cities","2015","26304","26304","34724"
"176017","University of Mississippi","2015","23372","23372","36602"
"176080","Mississippi State University","2015","22924","22924","35564"
"176372","University of Southern Mississippi","2015","20954","20954","29824"
"178396","University of Missouri-Columbia","2015","24183","24183","39840"
"181464","University of Nebraska-Lincoln","2015","23377","23377","37544"
"182281","University of Nevada-Las Vegas","2015","22529","22529","36439"
"182290","University of Nevada-Reno","2015","22812","22812","36722"
"186380","Rutgers University-New Brunswick","2015","30398","30398","45788"
"187985","University of New Mexico-Main Campus","2015","20665","20665","34896"
"188030","New Mexico State University-Main Campus","2015","19144","19144","32702"
"196088","University at Buffalo","2015","25718","25718","40798"
"196413","Syracuse University","2015","61242","61242","61242"
"197869","Appalachian State University","2015","18438","18438","32263"
"198419","Duke University","2015","66739","66739","66739"
"198464","East Carolina University","2015","20644","20644","36218"
"199120","University of North Carolina at Chapel Hill","2015","24349","24349","49431"
"199139","University of North Carolina at Charlotte","2015","20705","20705","33876"
"199193","North Carolina State University at Raleigh","2015","22398","22398","38749"
"199847","Wake Forest University","2015","64478","64478","64478"
"200800","University of Akron Main Campus","2015","25351","25351","33882"
"201441","Bowling Green State University-Main Campus","2015","24054","24054","31590"
"201885","University of Cincinnati-Main Campus","2015","27788","27788","43122"
"203517","Kent State University at Kent","2015","25532","25532","33732"
"204024","Miami University-Oxford","2015","29413","29413","46113"
"204796","Ohio State University-Main Campus","2015","25579","25579","42907"
"204857","Ohio University-Main Campus","2015","26494","26494","35458"
"206084","University of Toledo","2015","24422","24422","33760"
"207388","Oklahoma State University-Main Campus","2015","22308","22308","35508"
"207500","University of Oklahoma-Norman Campus","2015","25160","25160","38546"
"207971","University of Tulsa","2015","55875","55875","55875"
"209542","Oregon State University","2015","26415","26415","45075"
"209551","University of Oregon","2015","25169","25169","46904"
"214777","Pennsylvania State University-Main Campus","2015","35068","35068","48900"
"215293","University of Pittsburgh-Pittsburgh Campus","2015","31696","31696","42462"
"216339","Temple University","2015","31638","31638","41944"
"217882","Clemson University","2015","27820","27820","46738"
"218663","University of South Carolina-Columbia","2015","26571","26571","45387"
"220862","University of Memphis","2015","23846","23846","35558"
"220978","Middle Tennessee State University","2015","21782","21782","38510"
"221759","The University of Tennessee-Knoxville","2015","29626","29626","48046"
"221999","Vanderbilt University","2015","63532","63532","63532"
"223232","Baylor University","2015","56796","56796","56796"
"225511","University of Houston","2015","23858","23858","35618"
"227216","University of North Texas","2015","22003","22003","31363"
"227757","Rice University","2015","58253","58253","58253"
"228246","Southern Methodist University","2015","67165","67165","67165"
"228459","Texas State University","2015","21328","21328","32248"
"228723","Texas A & M University-College Station","2015","24772","24772","43364"
"228778","The University of Texas at Austin","2015","26322","26322","51192"
"228796","The University of Texas at El Paso","2015","21120","21120","33020"
"228875","Texas Christian University","2015","58270","58270","58270"
"229027","The University of Texas at San Antonio","2015","21749","21749","31471"
"229115","Texas Tech University","2015","22576","22576","31936"
"230728","Utah State University","2015","19560","19560","32060"
"230764","University of Utah","2015","21777","21777","39602"
"232982","Old Dominion University","2015","24099","24099","40839"
"233921","Virginia Polytechnic Institute and State University","2015","24855","24855","41499"
"234076","University of Virginia-Main Campus","2015","29572","29572","58745"
"236939","Washington State University","2015","27825","27825","41425"
"236948","University of Washington-Seattle Campus","2015","27034","27034","49338"
"237525","Marshall University","2015","20094","20094","28882"
"238032","West Virginia University","2015","20804","20804","34604"
"240444","University of Wisconsin-Madison","2015","24673","24673","43923"
"240727","University of Wyoming","2015","19169","19169","29909"
"243744","Stanford University","2015","64477","64477","64477"
"243780","Purdue University-Main Campus","2015","23032","23032","41834"
"407009","Arizona State University-West","2015","24643","24643","39178"
"420574","Arizona State University-Polytechnic","2015","25929","25929","40464"
"448886","Arizona State University-Downtown Phoenix","2015","27643","27643","42943"
"483124","Arizona State University Digital Immersion","2015","24109","24109","31073"
"484473","University of Florida-Online","2015",,,
"487296","University of Arizona-Sierra Vista","2015",,,
