UnitID,Institution Name,NCAA/NAIA conference number football (IC2011_RV),State abbreviation (HD2011),FIPS state code (HD2011),Sector of institution (HD2011),Percent of undergraduate students awarded Pell grants (SFA1112_RV),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2011C_RV  State unknown),On campus  other expenses 2011-12 (IC2011_AY_RV),Off campus (not with family)  other expenses 2011-12 (IC2011_AY_RV),Off campus (with family)  other expenses 2011-12 (IC2011_AY_RV),On campus  other expenses 2011-12 (IC2011_PY_RV),Off campus (not with family)  other expenses 2011-12 (IC2011_PY_RV),Off campus (with family)  other expenses 2011-12 (IC2011_PY_RV),Grand total (EF2011B_RV  Undergraduate  Age 25 and over total),
126182,Adams State University,159,CO,8,1,57,575,,,26,1,13,438,,,,6,,2,1,2,1,1,1,,1,,,,,,,1,,1,2,1,1,30,4,2,,3,,3,2,,1,1,,19,2,,,3,,2,4,,2565,2583,2439,,,,652,
138716,Albany State University,161,GA,13,1,80,1061,3,,,,2,,,1,1,13,1023,,,3,,,,,1,,1,,2,,1,,,1,,,1,,3,2,,2,,,,,,,,,,,,,,1,,,3884,3884,3390,,,,970,
237118,Alderson Broaddus University,-2,WV,54,2,48,132,,,,,,1,,,,3,,,,1,,,,,,,3,,1,,,,,,,,1,,,,,14,,,7,,,1,1,,,,5,,93,1,,,2520,3120,3120,,,,82,
217624,Allen University,-2,SC,45,2,87,179,2,,,,1,,,,,8,11,,,1,,,,,,,2,1,,2,,,,,,,4,,3,4,,,,,4,,131,,,,,,2,,,,,3,2800,3000,3000,,,,59,
164447,American International College,153,MA,25,2,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,2000,2000,,,,333,
222831,Angelo State University,147,TX,48,1,46,1414,1,1,1,1,1,1,,,,1,,,,,,,1,1,,,,,,2,,1,,,,,,5,2,,,,,,,,1,,,1393,,,1,,,,,,4200,4200,4200,,,,1070,
197869,Appalachian State University,131,NC,37,1,26,2955,3,,1,,2,,5,4,,21,54,1,,8,2,,,1,,,19,2,1,,1,1,,,,2,7,,7,2631,,12,,,14,1,50,,21,7,,1,66,1,1,,,8,2900,3200,3200,,,,1119,
104151,Arizona State University Campus Immersion,127,AZ,4,1,41,8899,7,15,6034,5,1066,159,22,5,3,31,27,27,19,193,27,17,25,7,4,3,25,45,50,90,6,28,13,12,77,11,78,62,68,10,5,42,9,60,75,1,6,9,9,128,20,8,29,137,1,66,9,14,3102,4302,4266,,,,12307,
106458,Arkansas State University,134,AR,5,1,48,1474,4,1,,1325,4,,,,,,,,,9,3,1,2,1,4,,1,,3,,5,48,,,,,,,1,,,,1,,,,1,,42,14,,,,1,,3,,,3781,2950,3781,,,,2572,
106467,Arkansas Tech University,367,AR,5,1,46,1843,1,,1,1764,1,1,1,,,3,1,,1,,,2,1,,9,,,,,,2,5,,,,,,,2,1,,,9,1,,,1,,11,25,,,,,,,,,2648,4268,3218,,,,2182,
201104,Ashland University,144,OH,39,2,31,600,,,,,1,1,1,,,3,,,,5,6,,,,,,3,,11,1,,,,,,,,,5,,,542,,,12,1,,,,1,,,2,1,4,,,,2595,,,,,,576,
164562,Assumption University,153,MA,25,2,20,600,,,,,,,79,,,2,,1,,,,,,,,20,,386,,,,,,,,25,10,,29,,,1,,,2,41,,,,,,1,1,1,,1,,,1800,1800,1800,,,,158,
100858,Auburn University,130,AL,1,1,18,4185,2276,1,8,4,38,16,8,4,1,274,596,2,,41,10,3,2,23,34,,34,13,13,5,25,30,,1,3,3,24,1,19,78,,24,5,,20,4,63,1,209,173,5,,74,4,1,6,1,5,2562,2562,2562,,,,877,
219000,Augustana University,155,SD,46,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,82,
150136,Ball State University,119,IN,18,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710,2710,4072,,,,1148,
197911,Barton College,-2,NC,37,2,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4400,4400,,,,353,
223232,Baylor University,108,TX,48,2,24,3033,3,2,22,34,110,80,3,,1,24,20,3,5,49,6,6,28,6,37,,8,7,13,16,6,34,3,8,8,4,10,9,12,7,,11,43,6,14,2,3,2,27,2260,1,,14,22,1,7,,36,3300,,,,,,296,
173124,Bemidji State University,155,MN,27,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,,,,1216,
217721,Benedict College,161,SC,45,2,88,962,9,,,,20,1,5,5,12,26,207,,,3,4,,1,6,2,,27,1,8,,,1,,,,,39,,24,55,,7,,2,31,,450,,1,,,,7,5,1,,,2,2064,,,,,,251,
