UnitID,Institution Name,NCAA/NAIA conference number football (IC2012_RV),State abbreviation (HD2012),FIPS state code (HD2012),Sector of institution (HD2012),Percent of undergraduate students awarded Pell grants (SFA1213_RV),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  State unknown),On campus  other expenses 2012-13 (IC2012_AY),Off campus (not with family)  other expenses 2012-13 (IC2012_AY),Off campus (with family)  other expenses 2012-13 (IC2012_AY),On campus  other expenses 2012-13 (IC2012_PY),Off campus (not with family)  other expenses 2012-13 (IC2012_PY),Off campus (with family)  other expenses 2012-13 (IC2012_PY),Grand total (EF2012B_RV  Undergraduate  Age 25 and over total),
126182,Adams State University,159,CO,8,1,50,529,,1,20,,19,413,,,,1,1,,4,1,,,1,,1,,,1,1,,,,1,,5,,,25,2,,,,,2,1,,,,,22,,,1,1,,2,2,1,2610,2610,2466,,,,605,
138716,Albany State University,161,GA,13,1,72,501,1,,,,2,,1,,,8,483,,,1,1,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,3970,3970,3446,,,,888,
237118,Alderson Broaddus University,-2,WV,54,2,48,385,,,2,,8,1,2,1,,8,,,,4,2,,,6,,,60,,1,1,,,,,1,,2,,3,4,,43,,,38,1,1,,,2,,,52,,142,,,,2520,3120,3120,,,,66,
217624,Allen University,-2,SC,45,2,89,125,1,,,,2,,,,,3,15,,,,,,,,,,1,,,,,,,,,,,,2,12,,1,,,1,,86,,,,,,,,,1,,,2800,3000,3000,,,,,
164447,American International College,153,MA,25,2,50,289,,,,,7,2,53,2,,1,,,,1,,,,,,,2,154,1,,,,,,,1,19,,30,,,,,,4,6,,,,2,,,2,,,2,,,1400,2000,2000,,,,,
222831,Angelo State University,147,TX,48,1,43,1394,,1,1,1,2,2,,,,,1,,,,,,,,1,,,,,1,1,,,,,,,4,,,2,,1,,,,,,,1372,,,3,,,,1,,4200,4200,4200,,,,894,
197869,Appalachian State University,131,NC,37,1,26,3015,6,,,,4,2,4,3,1,19,68,,,2,3,,2,8,1,,23,3,3,1,1,,1,,1,3,8,,4,2699,,10,1,1,15,,33,,13,8,,,55,,2,2,,5,3850,4150,4150,,,,1170,
104151,Arizona State University Campus Immersion,127,AZ,4,1,34,8753,,17,5893,1,1178,117,35,5,,35,23,20,21,166,21,17,14,4,3,4,34,48,42,59,3,23,11,17,80,12,89,43,77,19,5,51,6,53,72,3,4,6,13,124,25,3,28,145,1,69,7,7,3163,4387,4350,,,,13428,
106458,Arkansas State University,134,AR,5,1,46,1588,5,,,1415,2,,,,,5,9,3,,5,5,,2,1,,,,,,,10,70,1,,1,,2,,,,,,1,,1,,1,,33,14,,,1,1,,,,,3917,3517,3917,,,,2452,
106467,Arkansas Tech University,367,AR,5,1,46,1774,,,,1693,,,,,,3,,,,3,,1,1,,12,,,,,,3,8,,1,,,,,,,,,9,,,,1,,5,32,,,1,1,,,,,2648,4268,3218,,,,2452,
201104,Ashland University,144,OH,39,2,29,547,,,,,1,1,1,,,1,,,,6,3,,,1,,,,,7,,1,,,,,,,,8,4,,495,,,13,,,,,,,,1,1,1,1,1,,2595,3728,4069,,,,747,
164562,Assumption University,153,MA,25,2,23,548,,,,,1,,70,,,3,,,,1,,,,,,17,1,345,1,,,,,,1,21,14,,20,,,1,,,,49,,,,1,,2,,,,,,,1800,1800,1800,,,,198,
100858,Auburn University,130,AL,1,1,17,3816,2326,1,1,1,29,16,7,1,,211,523,,,37,6,5,3,20,14,,32,13,4,5,10,12,1,1,3,3,31,,10,48,,24,,2,25,2,24,,161,127,,2,63,5,3,4,,,2636,2636,2636,,,,828,
219000,Augustana University,155,SD,46,2,23,369,,,1,,,3,6,,,1,1,,,1,,38,4,,,,,,,134,,1,,17,2,,,,,,3,1,,,,,,147,,,,,,2,1,5,1,,1400,1700,1400,,,,84,
150136,Ball State University,119,IN,18,1,35,3511,,1,,,5,,3,,,2,4,,,173,3042,,,10,,,1,,49,,,18,3,1,2,,4,,3,1,,146,1,,4,,,1,3,6,2,,7,1,2,13,,3,2868,2868,4338,,,,,
197911,Barton College,-2,NC,37,2,50,202,,,,,,,,1,,2,1,,,,,,,,,1,6,1,,,,,,,,1,2,,1,171,,2,,,,,1,,,,,,8,,,,,4,4400,,,,,,,
223232,Baylor University,108,TX,48,2,22,3212,3,1,32,32,144,93,10,,,31,8,1,4,38,6,9,27,3,52,,4,8,5,34,4,28,,10,5,2,7,8,13,9,,8,50,9,12,1,4,,34,2409,3,1,17,23,,6,,4,4862,5884,5384,,,,299,
173124,Bemidji State University,155,MN,27,1,36,750,,4,2,,5,2,,,,2,,,,8,,3,,,,,,,,676,,,1,1,1,,1,,,,11,,,,1,,,3,,,,,,1,,27,,1,2600,2600,2600,,,,,
