"VariableName","Value","ValueLabel"
"State abbreviation (HD2015)","AL","Alabama"
"State abbreviation (HD2015)","AZ","Arizona"
"State abbreviation (HD2015)","AR","Arkansas"
"State abbreviation (HD2015)","CA","California"
"State abbreviation (HD2015)","CO","Colorado"
"State abbreviation (HD2015)","CT","Connecticut"
"State abbreviation (HD2015)","FL","Florida"
"State abbreviation (HD2015)","GA","Georgia"
"State abbreviation (HD2015)","ID","Idaho"
"State abbreviation (HD2015)","IL","Illinois"
"State abbreviation (HD2015)","IN","Indiana"
"State abbreviation (HD2015)","IA","Iowa"
"State abbreviation (HD2015)","KS","Kansas"
"State abbreviation (HD2015)","KY","Kentucky"
"State abbreviation (HD2015)","LA","Louisiana"
"State abbreviation (HD2015)","MD","Maryland"
"State abbreviation (HD2015)","MA","Massachusetts"
"State abbreviation (HD2015)","MI","Michigan"
"State abbreviation (HD2015)","MN","Minnesota"
"State abbreviation (HD2015)","MS","Mississippi"
"State abbreviation (HD2015)","MO","Missouri"
"State abbreviation (HD2015)","NE","Nebraska"
"State abbreviation (HD2015)","NV","Nevada"
"State abbreviation (HD2015)","NH","New Hampshire"
"State abbreviation (HD2015)","NJ","New Jersey"
"State abbreviation (HD2015)","NM","New Mexico"
"State abbreviation (HD2015)","NY","New York"
"State abbreviation (HD2015)","NC","North Carolina"
"State abbreviation (HD2015)","ND","North Dakota"
"State abbreviation (HD2015)","OH","Ohio"
"State abbreviation (HD2015)","OK","Oklahoma"
"State abbreviation (HD2015)","OR","Oregon"
"State abbreviation (HD2015)","PA","Pennsylvania"
"State abbreviation (HD2015)","SC","South Carolina"
"State abbreviation (HD2015)","SD","South Dakota"
"State abbreviation (HD2015)","TN","Tennessee"
"State abbreviation (HD2015)","TX","Texas"
"State abbreviation (HD2015)","UT","Utah"
"State abbreviation (HD2015)","VA","Virginia"
"State abbreviation (HD2015)","WA","Washington"
"State abbreviation (HD2015)","WV","West Virginia"
"State abbreviation (HD2015)","WI","Wisconsin"
"State abbreviation (HD2015)","WY","Wyoming"
"FIPS state code (HD2015)","1","Alabama"
"FIPS state code (HD2015)","4","Arizona"
"FIPS state code (HD2015)","5","Arkansas"
"FIPS state code (HD2015)","6","California"
"FIPS state code (HD2015)","8","Colorado"
"FIPS state code (HD2015)","9","Connecticut"
"FIPS state code (HD2015)","12","Florida"
"FIPS state code (HD2015)","13","Georgia"
