UnitID,Institution Name,NCAA/NAIA conference number football (IC2017),State abbreviation (HD2017),FIPS state code (HD2017),Sector of institution (HD2017),Percent of undergraduate students awarded Pell grants (SFA1718_RV),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2017C_RV  State unknown),On campus  other expenses 2017-18 (IC2017_AY),Off campus (not with family)  other expenses 2017-18 (IC2017_AY),Off campus (with family)  other expenses 2017-18 (IC2017_AY),On campus  other expenses 2017-18 (IC2017_PY),Off campus (not with family)  other expenses 2017-18 (IC2017_PY),Off campus (with family)  other expenses 2017-18 (IC2017_PY),Grand total (EF2017B_RV  Undergraduate  Age 25 and over total),
126182,Adams State University,159,CO,8,1,48,393,1,2,15,,13,255,,,1,2,1,5,1,2,,1,2,,,,,,,,,,2,2,11,,,44,,2,,,1,3,,,,,1,20,1,,1,4,,,,,3025,3025,3025,,,,537,
138716,Albany State University,161,GA,13,1,59,1504,12,,1,,1,1,1,,1,72,1405,,,4,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,2,,,,,,,,,3270,4030,4030,,,,1689,
237118,Alderson Broaddus University,371,WV,54,2,52,297,1,1,1,,1,,1,,,16,11,,,1,1,,1,2,,,24,2,2,1,,,,,,1,4,,4,2,,44,,,42,,2,,2,8,,,29,1,91,1,,,2902,3582,3582,,,,68,
217624,Allen University,-2,SC,45,2,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,3200,,,,61,
164447,American International College,153,MA,25,2,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,3230,3230,,,,208,
222831,Angelo State University,147,TX,48,1,30,1545,,,,,,1,,,,2,1,,,,,,1,,1,,,1,,,,,,,1,,,3,,,,,1,,,,,,1,1528,1,,1,,1,,1,,3480,3480,3480,,,,607,
197869,Appalachian State University,134,NC,37,1,30,3291,5,,2,,2,1,3,1,1,37,37,2,,14,,,,1,,,22,1,5,2,1,,,1,,3,10,1,6,2964,,2,,,13,1,67,,22,10,,1,45,,1,,1,6,2837,3137,3137,,,,1177,
104151,Arizona State University Campus Immersion,127,AZ,4,1,30,7351,6,9,5074,11,601,124,29,5,1,37,27,25,19,218,22,11,19,8,9,6,30,33,49,77,1,38,6,23,37,12,63,69,55,20,11,35,12,48,54,4,7,12,10,161,22,,31,104,,55,6,5,3404,4708,4386,,,,4509,
106458,Arkansas State University,134,AR,5,1,41,1394,6,,,1172,3,,,,,8,4,,,13,1,,3,,4,,1,,2,,11,95,,,1,,1,,,1,,,8,,,,,,44,13,,,1,,,2,,,4131,5202,5202,,,,1841,
106467,Arkansas Tech University,367,AR,5,1,40,1812,4,,,1731,3,,1,,,1,1,,,2,,,,,5,,,,,1,,11,,,,,,,1,1,,,17,,,,,,6,26,,,,,,1,,,2531,4260,4260,,,,1905,
201104,Ashland University,144,OH,39,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,3728,3728,,,,1775,
164562,Assumption University,153,MA,25,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,,,,133,
100858,Auburn University,130,AL,1,1,15,4766,2776,1,6,5,33,15,15,6,1,254,739,1,2,59,7,1,6,29,25,,35,17,2,3,17,22,,,2,3,39,2,28,96,,17,2,1,40,3,53,,159,157,3,,73,2,2,7,,,5782,5782,5782,,,,904,
219000,Augustana University,155,SD,46,2,20,458,,,,,5,6,,,,2,,,1,2,,43,,,,1,,,1,129,,2,1,33,,,,,,,2,,,,,,1,212,,8,,,,1,,4,3,1,4490,5685,4490,,,,71,
150136,Ball State University,119,IN,18,1,33,3975,,,,,2,,,,,8,11,1,1,394,3237,1,2,9,6,1,1,1,48,7,1,21,,2,,,3,,6,2,,176,1,,7,,1,,6,1,,,5,1,1,11,,,3138,3200,4562,,,,1012,
197911,Barton College,-2,NC,37,2,49,187,,,,,,,4,,,,3,,,1,3,,,,1,,8,1,1,,,,,,,,1,,1,136,,2,,,3,,2,,,1,1,,16,,1,1,,,4400,4400,4400,,,,151,
223232,Baylor University,108,TX,48,2,19,3257,13,,26,26,250,88,15,1,2,45,30,2,11,68,6,11,25,5,55,1,13,14,10,31,12,49,3,13,11,2,23,12,16,18,,8,54,21,15,3,9,4,44,2126,3,,21,21,1,11,3,6,3080,3686,3416,,,,284,
173124,Bemidji State University,155,MN,27,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,,,,1221,
