UnitID,Institution Name,NCAA/NAIA conference number football (IC2018),State abbreviation (HD2018),FIPS state code (HD2018),Sector of institution (HD2018),Percent of undergraduate students awarded Pell grants (SFA1819),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2018C_RV  State unknown),On campus  other expenses 2018-19 (IC2018_AY),Off campus (not with family)  other expenses 2018-19 (IC2018_AY),Off campus (with family)  other expenses 2018-19 (IC2018_AY),On campus  other expenses 2018-19 (IC2018_PY),Off campus (not with family)  other expenses 2018-19 (IC2018_PY),Off campus (with family)  other expenses 2018-19 (IC2018_PY),Grand total (EF2018B_RV  Undergraduate  Age 25 and over total),
126182,Adams State University,159,CO,8,1,44,402,,,11,,11,276,,,,,1,3,5,2,1,,2,,1,,1,1,,,,1,,,3,,1,44,1,,,,1,3,1,,,,1,25,3,,,1,,,2,,3024,3024,3024,,,,509,
138716,Albany State University,161,GA,13,1,62,1625,11,,,,1,,,,1,65,1515,,,4,,,,,2,,3,,1,,1,,,,,,3,,2,1,,1,,,2,,7,,1,,,,3,,,1,,,3270,4190,4190,,,,1281,
237118,Alderson Broaddus University,371,WV,54,2,52,249,,,,,1,,,3,,12,3,,,3,1,,1,2,,,27,,2,,,,,,,,4,,6,3,,34,,1,23,,1,,3,4,,,39,,76,,,,2882,3532,3532,,,,55,
217624,Allen University,369,SC,45,2,85,266,7,,1,,3,,,,,5,65,,,,,,,,,,2,,1,,,,,,,,,,1,5,,2,,,,,173,,,,,,1,,,,,,2000,2000,3200,,,,,
164447,American International College,153,MA,25,2,50,325,,,,,8,2,42,,,2,,2,,,,,,,,3,2,206,,,,,,,,1,23,1,21,3,,,,,2,4,,,,1,1,,1,,,,,,1700,3460,3460,,,,217,
222831,Angelo State University,147,TX,48,1,32,1495,2,,1,,1,4,1,,,7,,,,,,,,,,,1,,1,3,,,,,1,,,3,,1,,,2,,2,1,,,1,1460,,,,1,,2,,,3280,3280,3280,,,,590,
197869,Appalachian State University,134,NC,37,1,29,3432,11,,,1,,3,4,1,,31,50,,,7,2,,1,2,2,2,17,3,1,2,,3,,,,2,9,1,6,3125,,9,1,,15,2,39,,32,8,,,37,,,2,,1,2582,3232,2832,,,,1165,
104151,Arizona State University Campus Immersion,127,AZ,4,1,29,8355,4,15,5397,6,896,141,21,3,1,36,28,33,19,243,38,30,29,16,7,4,37,38,49,97,3,54,14,26,60,13,67,61,66,26,7,58,2,50,77,7,6,15,11,201,20,4,49,168,1,85,7,9,3430,4412,4412,,,,4053,
106458,Arkansas State University,134,AR,5,1,40,1515,3,,1,1250,5,2,2,,1,13,6,,1,14,1,,4,1,4,,1,,,2,13,104,,,,,,,2,3,,1,10,1,1,,,,46,19,2,,,1,,1,,,4171,5242,5242,,,,1700,
106467,Arkansas Tech University,367,AR,5,1,36,1691,1,,1,1610,2,1,,,,,2,,,,,,,,11,,,,,,2,11,,1,,,,,,,,,14,,1,,,,5,28,,,1,,,,,,2331,3991,3991,,,,1703,
201104,Ashland University,144,OH,39,2,27,586,1,,2,,3,3,2,1,,,2,,,1,5,,,1,,,1,,12,1,,,,,1,1,2,,2,1,,531,,,9,,,,,3,,,1,,,,,,2596,3728,3728,,,,,
164562,Assumption University,153,MA,25,2,18,544,,,,,2,1,56,3,,4,,,,,,,,,,14,4,356,,,,,,,,29,13,,24,1,,,1,,3,32,,,,,,1,,,,,,,1800,1800,1800,,,,,
100858,Auburn University,130,AL,1,1,15,4735,2756,,6,8,34,20,15,2,1,270,706,3,,52,13,,2,29,27,,46,14,9,4,18,11,2,,1,5,56,1,32,78,,13,4,1,32,3,43,,156,182,,2,64,5,1,8,,,5782,5782,5782,,,,1022,
219000,Augustana University,155,SD,46,2,19,419,,,1,,3,7,,,,2,,,,5,,26,,,,,,1,1,119,,,3,26,1,,,,,,5,,,,,,1,202,,2,,,1,1,,8,4,,4716,5972,4716,,,,63,
150136,Ball State University,119,IN,18,1,34,3728,1,,,1,4,3,1,1,,11,9,,,202,3138,1,4,6,1,,3,,52,6,,25,,,,1,2,,2,4,,182,,1,3,1,1,,4,7,,,5,,1,21,,24,3066,3066,4486,,,,920,
197911,Barton College,-2,NC,37,2,45,266,,,,,2,,,1,,11,10,,,3,1,,1,1,,,8,1,,2,,,,,,1,2,,4,178,,2,,,5,,1,,2,2,,,26,,1,1,,,4400,4400,4400,,,,147,
223232,Baylor University,108,TX,48,2,19,3247,15,2,43,39,257,91,7,2,,39,34,10,4,71,7,10,21,7,55,1,14,19,16,39,14,49,3,7,9,5,27,8,11,20,,11,49,15,23,5,7,1,30,2069,5,2,24,35,,14,,1,3160,3786,3506,,,,264,
173124,Bemidji State University,155,MN,27,1,31,744,1,2,4,,1,2,1,,,2,1,,,6,1,1,1,,,,,,,656,,1,1,1,,,,,1,,24,2,,1,,,,1,,,,,,,,31,1,1,3000,3000,3000,,,,,
217721,Benedict College,161,SC,45,2,82,696,8,,1,,11,1,2,1,10,18,120,,,23,3,,1,1,1,,16,,23,,,1,,,14,,4,,4,24,,6,,,3,,383,,3,3,,,10,1,,,,,4200,4200,4200,,,,159,
164739,Bentley University,153,MA,25,2,14,813,,,3,,24,4,99,1,,19,2,3,,3,2,1,,,,31,2,321,1,8,,1,,1,2,42,65,,119,2,,4,2,3,8,13,,,1,5,,14,1,2,,4,,,1220,1220,5790,,,,67,
219046,Black Hills State University,159,SD,46,1,26,490,,2,3,,5,17,,,,3,,,,2,,2,,,1,,,,,7,,1,9,25,2,,,,1,,22,,,1,,,,337,1,4,,1,,1,,1,35,7,4300,4300,4300,,,,793,
211158,Bloomsburg University of Pennsylvania,158,PA,42,1,32,1847,,,,,2,,3,6,,,,1,,,1,,,,,,11,2,,,,1,,,,,82,,33,1,,2,,,1698,,,,1,,,,2,,,1,,,3208,3208,3208,,,,471,
237215,Bluefield State College,-2,WV,54,1,55,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,3,,,,24,,170,,,,,4000,4000,,,,377,
142115,Boise State University,203,ID,16,1,23,2844,,35,19,1,635,35,,,,4,3,11,1567,6,,2,,1,,,,2,1,3,,,23,,52,,,3,1,,2,1,1,97,1,,1,4,1,19,15,,4,284,,3,6,1,3490,4230,2862,,,,4453,
162007,Bowie State University,140,MD,24,1,51,906,,,,,3,,1,5,45,3,4,,,2,1,,,,1,,792,3,1,,,,,,,,8,,15,2,1,,,,4,1,,,,,,,10,,,,,4,1600,1600,1600,,,,,
201441,Bowling Green State University-Main Campus,119,OH,39,1,27,3222,2,1,,,6,4,1,,1,8,2,1,2,36,15,,,2,,,5,6,151,2,,4,,,,1,7,,24,,1,2870,1,,42,,2,,4,3,,,7,1,2,5,1,2,3732,4970,4684,,,,982,
110556,California State University-Fresno,203,CA,6,1,59,3531,,,1,,3512,1,,,,2,,,,1,1,,,,,,1,,1,,,,,1,,,1,,,,,,,1,,,,1,,1,1,,1,3,,1,,,2326,2732,2588,,,,3362,
211361,California University of Pennsylvania,158,PA,42,1,42,1002,,1,,,3,1,,,,3,1,1,1,1,,,,,,,9,1,,,1,,,1,,,4,,2,2,,13,,,947,,,,,,,,6,,4,,,,4350,4350,6250,,,,1209,
219806,Carson-Newman University,160,TN,47,2,45,473,2,,,,2,1,,,,14,23,,,1,1,,,7,,,,,,,,,,,,,1,,1,11,,2,1,1,1,,10,,380,1,,,12,,1,,,,3010,3108,3108,,,,107,
198215,Catawba College,160,NC,37,2,40,324,,1,,,,,,1,,17,8,,,,,,,1,1,,8,2,,,,,,,,,4,,,241,,2,,,2,,19,,3,1,,,13,,,,,,3434,3434,3434,,,,,
169248,Central Michigan University,119,MI,26,1,34,2707,,,,,5,,,,,7,5,1,1,166,17,1,1,3,,1,3,1,2437,3,2,4,1,1,,1,3,1,4,1,,14,,,5,,1,,1,8,,,1,1,,6,,,853,853,853,,,,1925,
201690,Central State University,161,OH,39,1,80,752,3,,,,4,,1,,12,2,1,,,119,38,,,,,,1,,157,,,1,,1,,,3,,5,,,370,,,8,,,,,2,,,1,,,23,,,1500,2400,2400,,,,,
234827,Central Washington University,213,WA,53,1,35,2053,,,4,24,33,3,,,,1,1,20,13,,,,,,,,1,,,1,,,1,,5,,1,1,,,,,1,17,,,,,,8,,,1,1912,,,3,2,3012,3012,3012,,,,2176,
180948,Chadron State College,159,NE,31,1,37,362,2,2,5,,7,58,,,,3,4,,1,,,,,,,,,2,,1,,3,,188,1,,,,,,,1,1,,,,,38,1,,4,,,,,,39,1,5032,5032,2040,,,,443,
