VariableName,Value,ValueLabel
State abbreviation (HD2020),AL,Alabama
State abbreviation (HD2020),AZ,Arizona
State abbreviation (HD2020),AR,Arkansas
State abbreviation (HD2020),CA,California
State abbreviation (HD2020),CO,Colorado
State abbreviation (HD2020),FL,Florida
State abbreviation (HD2020),GA,Georgia
State abbreviation (HD2020),ID,Idaho
State abbreviation (HD2020),IL,Illinois
State abbreviation (HD2020),IN,Indiana
State abbreviation (HD2020),IA,Iowa
State abbreviation (HD2020),KS,Kansas
State abbreviation (HD2020),KY,Kentucky
State abbreviation (HD2020),LA,Louisiana
State abbreviation (HD2020),MD,Maryland
State abbreviation (HD2020),MI,Michigan
State abbreviation (HD2020),MN,Minnesota
State abbreviation (HD2020),MS,Mississippi
State abbreviation (HD2020),MO,Missouri
State abbreviation (HD2020),NE,Nebraska
State abbreviation (HD2020),NV,Nevada
State abbreviation (HD2020),NJ,New Jersey
State abbreviation (HD2020),NM,New Mexico
State abbreviation (HD2020),NY,New York
State abbreviation (HD2020),NC,North Carolina
State abbreviation (HD2020),OH,Ohio
State abbreviation (HD2020),OK,Oklahoma
State abbreviation (HD2020),OR,Oregon
State abbreviation (HD2020),PA,Pennsylvania
State abbreviation (HD2020),SC,South Carolina
State abbreviation (HD2020),TN,Tennessee
State abbreviation (HD2020),TX,Texas
State abbreviation (HD2020),UT,Utah
State abbreviation (HD2020),VA,Virginia
State abbreviation (HD2020),WA,Washington
State abbreviation (HD2020),WV,West Virginia
State abbreviation (HD2020),WI,Wisconsin
State abbreviation (HD2020),WY,Wyoming
Core Based Statistical Area (CBSA) (HD2020),10420,"Akron, OH"
Core Based Statistical Area (CBSA) (HD2020),10740,"Albuquerque, NM"
Core Based Statistical Area (CBSA) (HD2020),11180,"Ames, IA"
Core Based Statistical Area (CBSA) (HD2020),11460,"Ann Arbor, MI"
Core Based Statistical Area (CBSA) (HD2020),11900,"Athens, OH"
Core Based Statistical Area (CBSA) (HD2020),12020,"Athens-Clarke County, GA"
Core Based Statistical Area (CBSA) (HD2020),12060,"Atlanta-Sandy Springs-Alpharetta, GA"
Core Based Statistical Area (CBSA) (HD2020),12220,"Auburn-Opelika, AL"
Core Based Statistical Area (CBSA) (HD2020),12420,"Austin-Round Rock-Georgetown, TX"
Core Based Statistical Area (CBSA) (HD2020),12940,"Baton Rouge, LA"
Core Based Statistical Area (CBSA) (HD2020),13820,"Birmingham-Hoover, AL"
Core Based Statistical Area (CBSA) (HD2020),14020,"Bloomington, IN"
Core Based Statistical Area (CBSA) (HD2020),14260,"Boise City, ID"
Core Based Statistical Area (CBSA) (HD2020),14380,"Boone, NC"
Core Based Statistical Area (CBSA) (HD2020),14500,"Boulder, CO"
Core Based Statistical Area (CBSA) (HD2020),14540,"Bowling Green, KY"
Core Based Statistical Area (CBSA) (HD2020),15380,"Buffalo-Cheektowaga, NY"
Core Based Statistical Area (CBSA) (HD2020),16580,"Champaign-Urbana, IL"
Core Based Statistical Area (CBSA) (HD2020),16740,"Charlotte-Concord-Gastonia, NC-SC"
Core Based Statistical Area (CBSA) (HD2020),16980,"Chicago-Naperville-Elgin, IL-IN-WI"
Core Based Statistical Area (CBSA) (HD2020),17140,"Cincinnati, OH-KY-IN"
Core Based Statistical Area (CBSA) (HD2020),17780,"College Station-Bryan, TX"
Core Based Statistical Area (CBSA) (HD2020),17820,"Colorado Springs, CO"
Core Based Statistical Area (CBSA) (HD2020),17860,"Columbia, MO"
Core Based Statistical Area (CBSA) (HD2020),17900,"Columbia, SC"
Core Based Statistical Area (CBSA) (HD2020),18140,"Columbus, OH"
Core Based Statistical Area (CBSA) (HD2020),18700,"Corvallis, OR"
Core Based Statistical Area (CBSA) (HD2020),19100,"Dallas-Fort Worth-Arlington, TX"
Core Based Statistical Area (CBSA) (HD2020),21340,"El Paso, TX"
Core Based Statistical Area (CBSA) (HD2020),21660,"Eugene-Springfield, OR"
Core Based Statistical Area (CBSA) (HD2020),22220,"Fayetteville-Springdale-Rogers, AR"
Core Based Statistical Area (CBSA) (HD2020),22660,"Fort Collins, CO"
Core Based Statistical Area (CBSA) (HD2020),23420,"Fresno, CA"
Core Based Statistical Area (CBSA) (HD2020),23540,"Gainesville, FL"
Core Based Statistical Area (CBSA) (HD2020),24780,"Greenville, NC"
Core Based Statistical Area (CBSA) (HD2020),25620,"Hattiesburg, MS"
Core Based Statistical Area (CBSA) (HD2020),26420,"Houston-The Woodlands-Sugar Land, TX"
Core Based Statistical Area (CBSA) (HD2020),26580,"Huntington-Ashland, WV-KY-OH"
Core Based Statistical Area (CBSA) (HD2020),26980,"Iowa City, IA"
Core Based Statistical Area (CBSA) (HD2020),27860,"Jonesboro, AR"
Core Based Statistical Area (CBSA) (HD2020),28020,"Kalamazoo-Portage, MI"
Core Based Statistical Area (CBSA) (HD2020),28940,"Knoxville, TN"
Core Based Statistical Area (CBSA) (HD2020),29180,"Lafayette, LA"
Core Based Statistical Area (CBSA) (HD2020),29200,"Lafayette-West Lafayette, IN"
