"VariableName","Value","ValueLabel"
"FIPS state code (HD2020)","1","Alabama"
"FIPS state code (HD2020)","4","Arizona"
"FIPS state code (HD2020)","5","Arkansas"
"FIPS state code (HD2020)","6","California"
"FIPS state code (HD2020)","8","Colorado"
"FIPS state code (HD2020)","12","Florida"
"FIPS state code (HD2020)","13","Georgia"
"FIPS state code (HD2020)","16","Idaho"
"FIPS state code (HD2020)","17","Illinois"
"FIPS state code (HD2020)","18","Indiana"
"FIPS state code (HD2020)","19","Iowa"
"FIPS state code (HD2020)","20","Kansas"
"FIPS state code (HD2020)","21","Kentucky"
"FIPS state code (HD2020)","22","Louisiana"
"FIPS state code (HD2020)","24","Maryland"
"FIPS state code (HD2020)","25","Massachusetts"
"FIPS state code (HD2020)","26","Michigan"
"FIPS state code (HD2020)","27","Minnesota"
"FIPS state code (HD2020)","28","Mississippi"
"FIPS state code (HD2020)","29","Missouri"
"FIPS state code (HD2020)","31","Nebraska"
"FIPS state code (HD2020)","32","Nevada"
"FIPS state code (HD2020)","34","New Jersey"
"FIPS state code (HD2020)","35","New Mexico"
"FIPS state code (HD2020)","36","New York"
"FIPS state code (HD2020)","37","North Carolina"
"FIPS state code (HD2020)","39","Ohio"
"FIPS state code (HD2020)","40","Oklahoma"
"FIPS state code (HD2020)","41","Oregon"
"FIPS state code (HD2020)","42","Pennsylvania"
"FIPS state code (HD2020)","45","South Carolina"
"FIPS state code (HD2020)","47","Tennessee"
"FIPS state code (HD2020)","48","Texas"
"FIPS state code (HD2020)","49","Utah"
"FIPS state code (HD2020)","51","Virginia"
"FIPS state code (HD2020)","53","Washington"
"FIPS state code (HD2020)","54","West Virginia"
"FIPS state code (HD2020)","55","Wisconsin"
"FIPS state code (HD2020)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2020)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2020)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2020)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2020)","1","Four or more years"
"Control of institution (HD2020)","1","Public"
"Control of institution (HD2020)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2020)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2020)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2020)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2020)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2020)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2020)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2020)","111","Conference USA"
"NCAA/NAIA conference number football (IC2020)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2020)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2020)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2020)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2020)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2020)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2020)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2020)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2020)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2020)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","342","Other"
"NCAA/NAIA conference number football (IC2020)","-2","Not applicable"
"FIPS state code (HD2019)","1","Alabama"
"FIPS state code (HD2019)","4","Arizona"
"FIPS state code (HD2019)","5","Arkansas"
"FIPS state code (HD2019)","6","California"
