college,college_scorecard,opeid,conference,division
Abilene Christian University,Abilene Christian University,353700,Southland Conference,NCAA FCS
Adams State University,Adams State University,134500,Rocky Mountain Athletic Conference,NCAA D2
Adrian College,Adrian College,223400,Michigan Intercollegiate Athletic Association,NCAA D3
Alabama A&M University,Alabama A & M University,100200,Southwestern Athletic Conference,NCAA FCS
Alabama State University,Alabama State University,100500,Southwestern Athletic Conference,NCAA FCS
Albany State University,Albany State University,154400,Southern Intercollegiate Athletic Conference,NCAA D2
Albion College,Albion College,223500,Michigan Intercollegiate Athletic Association,NCAA D3
Albright College,Albright College,322900,Middle Atlantic Conferences,NCAA D3
Alcorn State University,Alcorn State University,239600,Southwestern Athletic Conference,NCAA FCS
Alderson Broaddus University,Alderson Broaddus University,380600,Mountain East,NCAA D2
Alfred University,Alfred University,266800,Empire 8 Athletic Conference,NCAA D3
Allan Hancock College,Allan Hancock College,111100,Western State Conference,JC
Allegheny College,Allegheny College,323000,North Coast Athletic Conference,NCAA D3
Allen University,Allen University,341700,Appalachian Athletic Conference,NAIA
Alma College,Alma College,223600,Michigan Intercollegiate Athletic Association,NCAA D3
American International College,American International College,211400,Northeast-10 Conference,NCAA D2
Amherst College,Amherst College,211500,New England Small College Athletic Conference,NCAA D3
Anderson University - Indiana,Anderson University,178500,Heartland Collegiate Athletic Conference,NCAA D3
Angelo State University,Angelo State University,354100,Lone Star Conference,NCAA D2
Anna Maria College,Anna Maria College,211700,Eastern Collegiate Football Conference,NCAA D3
Appalachian State University,Appalachian State University,290600,Sun Belt Conference,NCAA FBS
Arizona Christian University,Arizona Christian University,711300,Golden state Athletic Conference,NAIA
Arizona State University,Arizona State University-Tempe,108100,Pacific-12 Conference,NCAA FBS
Arkansas Baptist College,Arkansas Baptist College,108700,Region 2 NJCAA,JC
Arkansas State University,Arkansas State University-Main Campus,109000,Sun Belt Conference,NCAA FBS
Arkansas Tech University,Arkansas Tech University,108900,Great American Conference,NCAA D2
ASA College - Miami,NA,NA,NJCAA – Region 8,JC
Ashland University,Ashland University,301200,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Assumption University,Assumption College,211800,Northeast-10 Conference,NCAA D2
Auburn University,Auburn University,100900,Southeastern Conference,NCAA FBS
